F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
          Current charges,"548,848,115",0.23,"10,867,738",0.56,"1,640,571",0.42,"7,061,500",0.44,"3,987,782",0.48,"91,029,693",1.14,"10,514,902",1.52,"3,579,849",0.65,"1,548,941",0.00,"833,598",0.00,"32,695,583",0.56,"14,834,062",0.85,"2,527,188",0.00,"2,333,351",0.37,"14,318,577",1.35,"12,802,920",1.29,"7,832,243",1.04,"6,386,204",0.74,"6,320,521",0.43,"6,230,221",0.80,"1,532,116",0.69,"7,531,862",0.11,"9,343,521",0.41,"18,095,057",0.90,"8,885,126",1.65,"6,024,740",0.36,"8,158,931",2.60,"1,193,973",0.67,"3,091,434",1.36,"3,582,613",0.04,"1,528,092",0.50,"11,683,699",0.59,"2,750,059",0.17,"33,320,497",0.38,"19,808,859",0.35,"1,273,703",1.10,"18,649,072",0.96,"5,819,193",0.72,"9,978,578",0.55,"21,204,012",1.00,"1,477,291",0.19,"11,959,374",0.21,"931,240",0.76,"8,442,205",1.08,"40,436,163",0.75,"7,006,267",1.36,"877,421",0.53,"16,963,246",0.26,"16,998,021",1.07,"2,539,183",0.50,"8,510,461",0.92,"1,906,664",0.83
               Education,"137,730,362",0.01,"3,153,426",0.00,"219,761",0.03,"3,202,192",0.00,"1,414,934",0.00,"13,826,954",0.00,"3,691,457",0.00,"1,506,318",0.03,"729,389",0.00,"42,066",0.00,"4,712,004",0.00,"3,153,670",0.00,"429,212",0.00,"518,168",0.00,"4,328,230",0.00,"3,925,419",0.00,"2,128,888",0.00,"1,674,257",0.00,"1,739,732",0.00,"1,680,885",0.00,"388,234",0.02,"2,723,010",0.00,"3,170,670",0.15,"6,317,178",0.00,"2,606,548",0.00,"1,390,012",0.00,"2,552,126",0.00,"523,063",0.00,"1,110,829",0.00,"572,915",0.00,"664,803",0.00,"3,990,507",0.03,"639,820",0.00,"4,290,814",0.37,"4,248,713",0.18,"513,674",0.00,"6,275,867",0.00,"2,467,486",0.00,"2,218,963",0.00,"7,229,307",0.00,"513,873",0.00,"2,718,952",0.00,"413,414",0.00,"2,117,524",0.38,"10,972,962",0.00,"2,143,892",0.00,"575,148",0.00,"4,832,019",0.07,"3,522,448",0.00,"934,102",0.00,"2,804,135",0.00,"210,394",0.00
                    Institutions  of higher education,"121,774,060",0.01,"2,784,790",0.00,"191,114",0.00,"2,961,265",0.00,"1,251,887",0.00,"12,675,923",0.00,"3,170,718",0.00,"1,390,879",0.00,"715,929",0.00,"37,194",0.00,"3,540,689",0.00,"2,615,463",0.00,"397,594",0.00,"477,600",0.00,"3,711,198",0.00,"3,591,220",0.00,"1,942,743",0.00,"1,520,510",0.00,"1,641,459",0.00,"1,634,955",0.00,"344,888",0.00,"2,621,145",0.00,"2,768,510",0.00,"5,731,413",0.00,"2,035,565",0.00,"1,226,872",0.00,"2,104,627",0.00,"462,477",0.00,"901,995",0.00,"540,261",0.00,"615,299",0.00,"3,303,892",0.00,"581,548",0.00,"3,804,791",0.42,"3,993,907",0.16,"438,066",0.00,"5,222,753",0.00,"2,158,141",0.00,"2,032,544",0.00,"6,313,818",0.00,"452,536",0.00,"2,437,371",0.00,"347,936",0.00,"1,618,948",0.00,"9,768,692",0.00,"1,954,133",0.00,"547,026",0.00,"4,502,916",0.00,"3,084,781",0.00,"901,485",0.00,"2,511,163",0.00,"191,431",0.00
                    School lunch sales (gross),"5,507,318",0.10,"102,533",0.00,"7,005",0.46,"84,523",0.00,"49,697",0.00,"373,304",0.00,"96,458",0.00,"94,391",0.40,"12,642",0.00,998,0.00,"169,249",0.00,"161,336",0.00,"23,409",0.00,"24,570",0.00,"203,452",0.00,"185,864",0.00,"113,474",0.00,"81,825",0.00,"51,137",0.00,"22,362",0.00,"27,108",0.34,"90,184",0.00,"207,957",0.47,"154,375",0.00,"192,316",0.00,"40,578",0.00,"133,000",0.00,"18,207",0.00,"68,175",0.00,"21,337",0.00,"36,120",0.00,"251,543",0.41,"21,952",0.00,"229,526",0.00,"156,541",2.43,"34,847",0.00,"232,136",0.00,"63,985",0.00,"42,155",0.00,"270,394",0.00,"17,630",0.00,"67,691",0.00,"32,518",0.00,"83,310",2.85,"587,035",0.00,"58,927",0.00,"15,910",0.00,"205,978",1.42,"110,975",0.00,"9,250",0.00,"151,998",0.00,"15,431",0.00
               Hospitals,"169,852,799",0.23,"5,838,505",0.36,"437,600",0.00,"585,570",0.66,"1,379,943",0.89,"29,189,605",0.43,"2,287,453",3.30,"466,795",0.00,"4,976",0.00,"114,166",0.00,"8,780,763",0.18,"5,366,756",1.65,"452,557",0.00,"550,230",0.56,"1,993,339",5.23,"5,681,562",2.62,"4,069,954",1.82,"3,091,575",1.42,"2,630,310",0.22,"2,296,797",1.44,"114,748",0.00,"180,498",0.00,"392,220",0.00,"5,044,904",0.00,"1,943,790",5.96,"3,644,016",0.25,"2,769,455",6.35,"81,203",0.34,"632,892",2.69,"748,610",0.00,"5,963",0.00,"1,094,236",0.00,"1,200,350",0.00,"11,563,443",0.00,"11,031,397",0.45,"4,497",0.00,"5,765,196",1.19,"1,288,426",2.37,"2,676,198",0.35,"4,281,654",0.11,"3,415",0.00,"6,481,860",0.00,"96,262",0.00,"3,189,660",2.45,"13,423,317",0.96,"2,576,963",0.00,33,0.00,"5,593,818",0.00,"5,262,453",1.04,"282,820",0.00,"1,993,921",0.00,"1,266,126",0.19
               Highways,"21,649,019",0.19,"14,032",18.49,"75,772",1.53,"26,441",0.32,"8,187",0.91,"835,454",3.67,"402,707",0.17,"15,864",2.07,"324,709",0.00,671,0.00,"2,153,454",0.74,"86,342",4.02,"4,769",0.00,"43,182",1.92,"1,419,671",0.04,"9,921",7.63,"6,341",6.38,"136,779",0.53,"82,591",0.17,"37,128",0.21,"149,789",0.29,"761,091",0.08,"1,099,102",0.00,"140,704",10.67,"201,433",2.44,"20,545",0.00,"53,419",0.16,"30,133",0.41,"46,426",3.89,"10,444",0.71,"145,693",0.05,"2,176,224",0.23,"13,273",0.46,"4,615,240",0.00,"60,539",1.52,"14,916",0.99,"343,367",0.47,"318,562",0.00,"133,177",3.22,"1,435,303",0.52,"46,692",0.00,"145,898",0.00,"10,810",2.57,"2,178",15.07,"2,159,625",0.45,"14,209",9.12,"2,294",8.09,"969,981",0.02,"549,472",0.39,"100,814",0.07,"182,515",3.41,"11,134",0.00
               Air transportation (airports),"25,017,687",0.31,"101,221",0.38,"203,530",0.12,"452,056",0.32,"81,005",1.71,"4,174,016",1.50,"966,001",0.11,"24,359",0.00,"7,722",0.00,0,0.00,"2,268,842",1.12,"835,940",0.09,"483,411",0.00,"44,100",0.47,"1,466,616",1.06,"217,718",0.33,"74,761",0.41,"47,462",0.41,"215,740",0.03,"174,857",0.04,"43,522",0.76,"262,740",0.06,"853,758",0.01,"513,657",0.43,"367,963",0.38,"42,443",8.42,"344,446",0.47,"30,344",4.44,"67,745",0.24,"699,776",0.00,"39,937",0.48,"26,224",3.50,"81,188",0.31,"2,830,790",0.15,"584,788",0.16,"28,170",0.24,"308,558",0.20,"116,865",2.24,"338,911",0.26,"608,998",3.93,"71,853",0.00,"104,219",0.00,"19,838",0.31,"398,609",0.88,"2,187,579",0.53,"233,644",4.89,"21,123",0.00,"1,006,483",1.01,"722,463",0.31,"31,645",5.68,"159,321",0.93,"30,729",17.99
               Parking facilities,"3,175,503",1.58,"11,040",0.00,"9,101",1.61,"17,196",1.95,"4,332",1.23,"684,905",5.75,"29,663",11.37,"78,868",0.01,"21,651",0.00,"5,187",0.00,"231,658",7.86,"16,192",0.57,"10,967",0.00,528,0.00,"49,048",4.10,"17,995",0.39,"26,449",0.05,"6,301",0.00,"29,185",13.65,"12,922",0.00,"12,852",27.37,"135,843",1.57,"53,724",1.67,"74,901",1.43,"97,743",0.00,"1,023",0.00,"29,929",0.34,"7,124",0.00,"24,952",0.00,"8,313",0.00,"17,955",0.00,"143,359",8.14,"9,355",0.00,"333,530",5.98,"48,316",3.87,"3,825",23.57,"66,380",0.45,"17,401",0.00,"89,563",0.12,"372,907",1.91,"1,844",0.00,"46,883",1.73,"4,128",0.00,"15,458",10.00,"50,743",0.27,"7,721",0.00,"8,360",0.00,"72,917",1.47,"72,728",0.00,"8,585",0.10,"73,626",2.54,328,0.00
               Sea and inland port facilities,"5,653,684",1.25,"134,936",0.00,"75,285",4.55,0,0.00,"3,066",4.71,"1,431,133",1.41,0,0.00,862,0.00,"39,804",0.00,0,0.00,"565,657",0.96,"426,382",0.00,"157,984",0.00,"1,073",0.00,0,0.00,"17,294",0.00,0,0.00,0,0.00,"20,863",52.24,"211,480",0.00,"3,547",3.92,"58,600",0.00,"133,769",0.77,"2,225",0.00,"35,974",0.00,"51,220",1.38,0,0.00,"1,636",0.00,0,0.00,0,0.00,0,0.00,"33,124",0.00,0,0.00,"309,543",4.12,"46,300",0.00,0,0.00,"17,004",27.33,"5,921",0.00,"96,376",21.92,"18,627",29.87,"1,645",0.00,"252,013",0.00,0,0.00,"3,133",4.18,"555,329",9.21,0,0.00,0,0.00,"521,098",0.00,"413,767",8.23,0,0.00,"7,015",4.60,0,0.00
               Natural resources,"5,655,887",1.65,"7,563",0.00,"26,850",0.03,"208,100",9.37,"21,762",0.00,"2,230,186",0.21,"66,358",33.20,"33,736",0.12,"1,343",0.00,0,0.00,"554,185",6.49,"62,863",0.00,"24,297",0.00,"103,615",3.16,"115,829",20.19,"52,679",0.00,"116,045",1.41,"45,653",6.90,"82,710",0.00,"14,300",0.00,"31,733",0.00,"25,132",10.83,"32,033",0.03,"87,022",1.64,"67,100",4.38,"24,508",0.05,"11,488",0.00,"63,615",3.57,"55,942",8.16,"19,623",2.60,"5,769",5.36,"3,579",0.00,"38,665",10.96,"69,969",0.00,"60,164",5.27,"34,884",22.59,"74,397",7.11,"40,542",0.00,"290,228",8.60,"42,707",0.00,"15,864",0.00,"35,883",0.00,"18,910",13.15,"29,770",6.88,"194,760",2.78,"43,941",27.75,"2,533",3.00,"11,036",0.00,"291,280",23.67,"35,953",0.00,"106,566",13.92,"22,215",0.36
               Parks and recreation,"11,446,962",1.72,"134,463",2.61,"22,847",1.16,"178,479",2.84,"80,058",2.43,"1,524,868",9.37,"359,147",14.16,"102,279",0.37,"21,223",0.00,"31,501",0.00,"777,996",3.49,"283,205",2.69,"51,915",0.00,"52,772",0.74,"1,139,568",8.79,"188,301",2.02,"107,942",2.42,"95,893",0.95,"126,522",1.06,"241,713",0.53,"37,925",3.58,"176,331",0.98,"156,005",3.99,"181,853",3.48,"351,049",1.90,"38,698",4.25,"191,583",5.53,"23,399",1.15,"43,967",3.66,"172,030",0.00,"64,105",1.37,"204,779",7.24,"36,950",0.66,"808,401",4.58,"231,785",3.59,"78,251",13.15,"372,511",10.22,"126,347",6.56,"304,163",2.38,"239,286",3.83,"49,299",0.00,"170,376",7.68,"34,118",2.36,"135,224",4.63,"562,286",3.91,"184,804",3.81,"26,960",0.67,"273,142",1.75,"295,156",5.29,"74,971",0.43,"254,852",5.15,"25,665",8.47
               Housing and community development,"7,181,564",4.23,"86,688",9.23,"47,896",1.39,"27,982",22.20,"30,019",13.59,"871,383",33.14,"159,372",25.05,"163,144",13.90,"14,771",0.00,"56,666",0.00,"235,311",10.94,"135,190",17.79,"34,941",0.00,"51,990",1.96,"206,475",10.00,"51,254",7.34,"23,627",2.19,"39,851",21.59,"32,893",3.81,"49,710",3.47,"41,137",8.99,"186,833",0.45,"425,404",7.32,"52,097",3.86,"334,486",6.36,"34,471",6.09,"37,663",0.00,"12,376",18.35,"24,768",9.60,"32,985",0.00,"44,239",12.92,"232,664",1.77,"17,966",5.17,"1,276,288",0.03,"162,724",4.77,"15,347",33.18,"180,500",10.57,"38,943",10.10,"98,584",13.58,"245,149",5.86,"56,595",4.19,"55,449",28.36,"10,385",11.47,"107,111",16.79,"374,039",10.78,"26,890",0.77,"17,986",21.32,"176,246",0.20,"376,509",0.29,"33,761",11.94,"116,915",10.02,"15,892",4.77
               Sewerage,"61,394,896",1.24,"575,265",2.24,"111,592",1.18,"936,538",1.84,"335,095",2.82,"9,331,468",7.36,"967,529",7.34,"467,717",0.37,"165,589",0.00,"400,678",0.00,"3,731,193",3.13,"2,047,362",2.67,"521,271",0.00,"252,422",2.16,"1,324,496",4.96,"2,038,164",3.13,"600,881",3.08,"485,880",0.58,"694,360",1.90,"507,805",7.18,"205,601",4.12,"1,363,380",0.32,"1,773,219",0.84,"2,183,751",1.57,"1,201,037",4.05,"303,311",5.00,"1,160,861",2.57,"142,206",4.58,"312,835",2.40,"528,829",0.24,"151,020",2.78,"1,710,213",3.79,"211,570",0.42,"2,844,898",1.08,"1,505,915",2.62,"73,668",0.88,"2,595,769",2.03,"485,896",4.52,"1,222,524",2.41,"3,312,393",5.85,"235,204",0.01,"741,513",1.79,"116,772",3.27,"947,115",1.57,"4,057,663",2.31,"464,105",2.80,"78,742",1.21,"1,747,166",1.56,"2,824,242",4.17,"279,581",3.74,"1,040,640",2.69,"77,951",4.14
               Solid waste management,"18,653,717",1.57,"232,954",5.20,"88,764",1.01,"493,222",0.79,"172,580",3.07,"3,253,615",7.69,"129,039",3.93,"167,249",1.38,"81,680",0.00,"6,198",0.00,"2,360,153",2.55,"643,042",3.45,"175,030",0.00,"179,015",1.21,"371,344",5.28,"158,167",13.96,"272,224",4.75,"160,574",3.71,"124,811",4.08,"235,881",3.54,"51,261",2.34,"446,351",0.96,"128,796",3.30,"251,164",3.04,"353,520",3.73,"164,438",2.96,"120,540",6.30,"71,725",1.99,"53,002",4.56,"24,467",0.73,"42,345",1.36,"421,968",2.67,"232,488",0.27,"556,714",8.15,"592,039",2.89,"80,588",1.11,"345,204",4.31,"297,653",3.50,"172,324",2.60,"705,263",10.47,"25,530",0.00,"237,611",1.82,"57,836",2.95,"305,024",4.76,"1,596,638",5.43,"202,623",1.65,"25,981",7.01,"473,371",2.89,"921,245",2.51,"58,922",6.51,"248,783",7.25,"82,759",13.13
               Other charges,"81,436,036",0.97,"577,645",9.25,"321,574",1.75,"933,725",1.40,"456,799",1.96,"23,676,106",2.75,"1,456,177",6.84,"552,658",0.78,"136,084",0.00,"176,465",0.00,"6,324,367",1.73,"1,777,117",3.51,"180,834",0.00,"536,256",0.80,"1,903,960",5.45,"444,446",5.31,"405,133",5.76,"601,979",2.13,"540,804",3.60,"766,743",0.21,"451,768",0.74,"1,212,053",0.25,"1,124,819",1.34,"3,245,600",4.90,"1,324,482",5.34,"310,054",3.52,"887,421",12.88,"207,150",1.36,"718,075",5.16,"764,620",0.09,"346,263",0.80,"1,646,822",0.58,"268,435",0.65,"3,820,867",2.72,"1,236,178",1.43,"425,883",0.10,"2,304,319",6.55,"615,152",1.80,"2,337,568",1.11,"2,712,418",0.91,"455,477",0.34,"968,718",0.21,"148,767",3.28,"1,191,399",2.96,"4,301,223",5.45,"1,107,474",8.38,"118,261",1.27,"1,285,970",2.30,"1,746,259",5.51,"698,028",0.62,"1,522,172",4.41,"163,470",5.55
          Miscellaneous general revenue,"239,578,439",0.37,"2,392,129",0.81,"2,629,754",0.13,"3,657,539",0.33,"1,607,536",0.94,"28,530,983",2.80,"4,604,989",1.58,"1,993,846",0.31,"1,287,376",0.00,"809,624",0.00,"17,087,941",1.03,"4,678,116",0.97,"1,607,981",0.00,"834,721",1.15,"8,646,649",0.70,"3,744,294",0.67,"2,414,731",0.86,"2,355,218",0.99,"1,789,882",0.53,"2,960,315",0.44,"659,741",0.93,"3,798,854",0.40,"6,432,579",0.21,"6,678,685",0.83,"4,898,014",0.58,"1,062,272",0.86,"4,222,064",1.69,"604,707",0.52,"1,324,708",1.50,"1,481,067",0.18,"1,015,731",0.19,"8,451,557",0.53,"3,054,023",0.14,"19,773,406",0.36,"5,322,423",0.48,"1,427,670",0.71,"9,423,015",1.56,"3,183,960",0.45,"4,022,088",0.40,"7,435,069",0.92,"994,178",0.02,"3,315,011",0.43,"772,225",0.58,"4,009,147",0.58,"20,634,465",0.62,"2,298,693",1.63,"426,057",0.35,"6,450,755",0.97,"5,834,522",2.22,"1,335,500",0.25,"4,236,373",0.35,"1,366,258",0.48
               Interest earnings,"55,002,422",0.23,"477,221",1.49,"1,012,070",0.06,"939,906",0.57,"312,743",2.53,"6,276,611",1.28,"1,258,064",2.46,"751,438",0.27,"124,486",0.00,"98,929",0.00,"1,959,072",1.82,"638,080",0.62,"261,139",0.00,"168,792",0.63,"2,309,894",0.26,"1,287,053",0.22,"329,721",1.30,"457,142",1.05,"460,407",0.27,"628,103",0.27,"178,458",1.32,"705,878",0.16,"1,334,120",0.15,"1,396,232",0.79,"912,725",0.98,"192,129",2.47,"1,088,625",0.45,"201,639",0.92,"274,572",1.51,"409,500",0.07,"435,936",0.08,"1,383,899",0.34,"811,388",0.08,"4,978,610",0.06,"1,022,856",0.35,"873,392",0.67,"2,195,187",3.04,"447,575",0.37,"815,952",1.27,"1,730,856",1.02,"381,899",0.02,"557,935",1.05,"261,167",1.39,"1,129,219",0.74,"5,856,428",0.65,"644,706",0.64,"119,315",0.45,"1,196,216",0.81,"1,693,533",0.78,"282,951",0.17,"918,153",0.24,"820,502",0.43
               Special assessments,"10,615,342",4.13,"22,557",1.54,"10,385",0.16,"61,802",11.20,"23,065",12.19,"2,992,732",12.84,"333,120",18.06,"24,441",4.55,"28,593",0.00,"2,394",0.00,"2,951,207",5.07,"108,701",2.91,"25,249",0.00,"30,630",29.05,"512,682",0.00,"11,532",0.00,"29,738",17.18,"128,850",3.68,"11,481",18.20,"15,639",11.70,"8,461",14.49,"114,208",3.83,"7,804",7.82,"219,497",15.57,"344,505",5.25,"11,160",27.54,"95,079",7.67,"79,282",2.60,"35,150",37.32,"145,699",1.84,833,15.06,"6,403",29.29,"11,423",36.44,"137,399",18.58,"23,231",6.23,"145,684",3.00,"293,763",4.94,"21,928",1.48,"85,016",9.80,"75,565",5.34,"6,631",0.59,"53,219",3.08,"16,758",3.63,"153,302",6.78,"456,390",9.26,"49,346",23.62,"5,130",6.83,"64,847",2.71,"541,326",21.51,"14,745",9.98,"59,401",6.28,"7,362",58.24
               Sale of property,"4,150,641",3.44,"72,951",3.22,"501,125",0.00,"143,441",1.30,"22,458",2.57,"433,630",24.36,"86,740",3.80,"18,561",2.48,"4,628",0.00,"21,984",0.00,"226,974",12.70,"136,779",15.73,794,0.00,"80,299",0.60,"12,566",0.12,"84,073",1.12,"53,536",2.70,"46,870",1.65,"55,845",2.62,"11,895",0.54,"8,111",13.73,"21,039",3.66,"25,291",16.06,"103,890",7.82,"74,583",13.71,"29,152",7.39,"65,046",11.30,"11,232",4.36,"11,950",9.85,"29,563",0.08,"7,013",10.04,"90,511",13.36,"13,407",0.22,"80,063",4.56,"117,532",10.45,"10,347",1.37,"115,119",7.90,"29,160",5.87,"66,958",3.46,"180,011",32.41,"2,228",0.00,"47,777",3.18,"13,270",0.59,"53,204",5.52,"370,988",10.21,"103,824",4.97,"16,887",1.19,"57,820",2.38,"259,069",18.37,"6,806",0.51,"107,018",6.96,"6,622",7.05
               Other general revenue,"169,810,034",0.43,"1,819,400",0.98,"1,106,173",0.30,"2,512,390",0.33,"1,249,271",1.00,"18,828,010",3.64,"2,927,065",0.92,"1,199,406",0.48,"1,129,669",0.00,"686,317",0.00,"11,950,688",0.67,"3,794,556",1.04,"1,320,799",0.00,"555,000",0.59,"5,811,508",1.04,"2,361,635",1.05,"2,001,736",0.98,"1,722,356",1.30,"1,262,149",0.72,"2,304,677",0.56,"464,711",1.16,"2,957,729",0.50,"5,065,364",0.26,"4,959,066",0.83,"3,566,201",0.48,"829,831",0.82,"2,973,315",2.38,"312,554",0.43,"1,003,036",1.42,"896,305",0.02,"571,949",0.31,"6,970,744",0.61,"2,217,805",0.05,"14,577,335",0.45,"4,158,805",0.52,"398,247",1.77,"6,818,946",1.91,"2,685,296",0.53,"3,054,162",0.29,"5,448,637",0.55,"603,419",0.03,"2,656,081",0.48,"481,030",0.53,"2,673,421",0.71,"13,950,658",0.78,"1,500,817",2.33,"284,725",0.47,"5,131,872",1.20,"3,340,594",0.84,"1,030,998",0.28,"3,151,801",0.38,"531,773",0.63
Utility revenue,"174,989,052",0.57,"2,967,737",3.12,"440,810",1.12,"5,315,156",0.65,"987,566",1.78,"32,740,830",2.54,"2,996,540",4.67,"825,545",0.63,"478,693",0.00,"988,874",0.00,"10,749,403",3.17,"4,719,597",2.50,"432,971",0.00,"255,998",3.53,"4,991,163",1.81,"3,001,741",1.85,"1,172,647",2.64,"1,579,094",3.45,"1,879,268",2.51,"1,270,850",4.23,"146,003",5.22,"1,172,662",2.02,"3,952,178",0.97,"3,148,773",0.91,"2,715,689",1.40,"806,096",3.36,"2,736,311",4.26,"175,996",3.17,"4,346,523",0.73,"1,383,296",0.07,"129,247",1.22,"2,163,903",2.07,"635,137",0.69,"16,193,962",0.41,"4,404,339",1.65,"288,604",5.82,"3,320,116",3.04,"2,021,152",2.34,"1,839,698",5.13,"2,993,000",2.88,"244,085",0.82,"3,633,768",0.86,"360,501",1.12,"9,262,864",1.02,"14,887,800",1.57,"1,966,910",1.35,"229,001",9.06,"2,104,390",1.27,"7,263,395",1.21,"234,359",4.36,"2,168,674",1.85,"266,138",5.56
     Water supply,"69,703,176",1.29,"875,262",2.58,"109,662",1.16,"1,669,464",1.31,"483,513",3.54,"17,072,817",4.41,"1,615,679",7.05,"370,077",1.04,"96,559",0.00,"188,351",0.00,"4,996,825",6.01,"1,939,768",3.72,"371,856",0.00,"173,130",4.88,"2,778,646",2.69,"1,064,378",3.77,"602,459",3.39,"692,947",7.83,"783,381",5.68,"521,404",9.85,"116,434",6.12,"894,805",0.49,"1,548,680",1.89,"1,668,861",1.58,"759,668",2.75,"289,283",5.92,"1,014,218",10.14,"173,914",3.19,"300,696",5.99,"1,179,883",0.08,"111,409",1.42,"903,524",4.93,"379,097",0.34,"2,562,824",2.17,"1,480,175",2.66,"260,226",6.46,"2,049,947",4.74,"902,332",3.88,"882,230",10.47,"1,471,611",4.96,"212,605",0.94,"915,667",2.90,"155,398",1.47,"1,224,546",6.21,"7,176,162",3.23,"687,179",3.28,"75,356",2.42,"1,344,225",1.64,"1,441,649",4.43,"208,768",4.82,"736,653",4.38,"168,975",8.76
     Electric power,"81,634,627",0.48,"1,732,319",5.17,"324,468",1.46,"3,466,007",0.77,"496,791",0.79,"13,093,772",2.22,"1,042,657",7.71,"378,108",0.11,"361,646",0.00,0,0.00,"5,241,906",3.06,"1,766,549",3.51,0,0.00,"79,876",3.98,"1,185,830",4.10,"1,533,655",2.43,"479,624",4.61,"842,196",0.49,"739,359",1.77,"610,861",2.26,"14,000",19.28,"88,255",26.42,"1,465,281",1.61,"1,393,865",0.79,"1,742,068",1.78,"421,461",4.04,"1,532,606",3.47,0,0.00,"3,705,156",0.69,"116,446",0.00,"12,720",0.00,"176,049",2.42,"190,786",1.17,"6,348,191",0.59,"2,687,499",2.27,"23,984",0.37,"1,090,404",2.41,"1,059,288",2.77,"816,850",2.32,"213,511",20.77,"8,231",0.00,"2,452,229",0.59,"195,024",1.71,"6,865,389",0.70,"7,182,507",0.25,"1,211,169",0.91,"148,969",13.87,"401,460",3.63,"5,227,308",1.15,"13,130",0.00,"1,358,800",1.76,"96,367",0.32
     Gas supply,"6,302,597",1.59,"354,654",2.21,741,0.00,"43,338",9.70,"3,814",0.00,"246,670",18.84,"168,724",7.06,"19,869",0.00,0,0.00,0,0.00,"203,084",3.13,"837,735",8.38,0,0.00,0,0.00,"30,598",41.26,"361,069",2.41,"63,426",11.56,"38,730",4.30,"330,817",2.63,"106,712",6.96,0,0.00,"6,366",0.00,"51,376",0.00,0,0.00,"96,397",6.48,"93,915",13.00,"113,657",11.94,0,0.00,"332,886",1.66,0,0.00,0,0.00,0,0.00,"48,736",7.26,"10,508",8.66,"171,696",0.26,870,0.00,"38,685",6.76,"49,990",24.99,627,0.00,"613,829",0.08,0,0.00,"249,097",3.23,"10,031",0.00,"1,130,305",2.66,"255,319",10.41,"6,929",61.62,0,0.00,"204,187",1.96,"6,990",0.95,219,0.00,0,0.00,0,0.00
     Transit,"17,348,653",1.10,"5,502",7.85,"5,939",0.00,"136,347",0.32,"3,448",0.00,"2,327,571",8.19,"169,480",0.10,"57,491",6.09,"20,488",0.00,"800,523",0.00,"307,587",0.09,"175,546",0.33,"61,115",0.00,"2,991",0.00,"996,088",0.31,"42,639",0.41,"27,138",0.45,"5,221",0.56,"25,712",0.00,"31,874",0.79,"15,569",0.06,"183,236",0.06,"886,841",0.77,"86,048",1.53,"117,556",1.28,"1,437",0.00,"75,829",1.27,"2,082",28.72,"7,784",0.60,"86,967",0.00,"5,118",0.00,"1,084,330",0.00,"16,517",2.12,"7,272,440",0.03,"64,968",1.85,"3,523",0.86,"141,079",5.60,"9,542",2.21,"139,991",0.11,"694,049",1.57,"23,249",0.00,"16,775",16.22,48,0.00,"42,625",5.37,"273,812",1.12,"61,633",12.11,"4,677",0.00,"154,519",1.03,"587,448",0.40,"12,242",14.75,"73,222",0.37,795,0.00
Liquor store revenue,"10,154,551",0.45,"350,913",0.00,"5,953",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"172,845",0.00,0,0.00,0,0.00,"320,530",0.00,0,0.00,0,0.00,0,0.00,"187,149",0.00,"296,899",0.00,0,0.00,"1,123,653",0.00,"346,434",9.66,"360,281",0.00,0,0.00,"99,100",0.00,0,0.00,0,0.00,"693,160",0.00,0,0.00,0,0.00,0,0.00,"806,398",3.77,0,0.00,"1,186,823",0.00,0,0.00,"625,794",0.00,"2,066,562",0.00,0,0.00,0,0.00,"12,755",1.00,0,0.00,0,0.00,"403,667",0.00,"67,064",0.00,"812,979",0.00,0,0.00,"97,399",0.00,0,0.00,"118,194",0.00
Insurance trust revenue2,"613,758,715",0.12,"6,166,977",0.02,"1,800,654",0.00,"9,436,102",0.01,"4,024,270",0.04,"122,095,184",0.10,"12,488,017",0.65,"5,401,600",3.51,"1,318,074",0.00,"1,487,650",0.00,"24,326,858",1.95,"13,746,115",1.33,"2,072,505",0.00,"2,632,017",0.00,"26,813,308",0.54,"4,755,128",0.23,"4,485,818",0.00,"3,117,250",0.00,"5,311,856",0.02,"7,273,066",0.82,"1,831,493",0.00,"8,350,642",0.39,"14,489,814",0.90,"16,359,163",0.64,"13,854,922",0.02,"3,923,890",0.00,"10,245,932",1.07,"3,864,287",0.00,"2,615,142",0.00,"5,726,900",0.00,"1,515,254",0.00,"13,433,449",0.00,"3,341,379",0.00,"60,767,770",0.00,"11,045,694",0.00,"1,213,050",0.00,"31,378,804",0.00,"4,461,060",0.20,"11,236,760",0.00,"23,244,259",1.55,"1,671,305",0.72,"5,596,640",0.00,"1,306,140",0.00,"10,881,360",0.36,"38,912,095",0.41,"4,937,577",0.00,"608,246",0.00,"6,722,945",0.49,"18,042,108",0.01,"2,164,708",0.04,"19,507,074",0.00,"1,756,405",0.00
